frame_id,class,confidence
0135,person,0.9978594183921814
0135,bench,0.9586394429206848
0135,handbag,0.8242760896682739
0335,person,0.9835999608039856
0335,book,0.6696601510047913
0505,person,0.9936167001724243
0505,person,0.9642903208732605
0546,person,0.9977129697799683
0546,person,0.9928967356681824
0630,person,0.9954628944396973
0630,person,0.9828103184700012
0650,person,0.9986270666122437
0650,person,0.9806310534477234
0694,person,0.7317360639572144
0723,person,0.9864107370376587
0723,person,0.985019862651825
0817,person,0.988209068775177
0817,person,0.9788575768470764
0817,book,0.8363510370254517
1129,person,0.6786639094352722
1162,person,0.9981752634048462
1162,person,0.9902160167694092
1316,person,0.9744877219200134
1363,person,0.9996559023857117
1445,person,0.9949583411216736
1445,person,0.8650646209716797
1445,book,0.5131751298904419
1484,person,0.996951699256897
1484,person,0.9537448287010193
1561,person,0.9988272190093994
1638,person,0.9933732151985168
1638,person,0.8103564381599426
1657,person,0.999344527721405
1714,person,0.9939164519309998
1808,person,0.9976922273635864
1808,person,0.973172664642334
1850,person,0.9935854077339172
1850,person,0.9100178480148315
1920,person,0.9983188509941101
1920,person,0.9701395630836487
1980,person,0.9988648891448975
1980,person,0.9972939491271973
1980,chair,0.6813830733299255
1980,book,0.6755269765853882
2054,person,0.9978221654891968
2054,person,0.9959043860435486
2054,chair,0.7750231623649597
2054,book,0.5528703927993774
2140,person,0.9966967701911926
2140,person,0.9272624850273132
2180,person,0.9927769899368286
2180,person,0.9610777497291565
2320,person,0.9959238767623901
2320,person,0.9840553402900696
2446,person,0.9994273781776428
2446,person,0.8601600527763367
2739,person,0.9988583922386169
2739,person,0.9940487146377563
2762,person,0.983883261680603
2762,person,0.9459744095802307
2843,person,0.9963412284851074
2843,person,0.9363180994987488
3143,person,0.9989060163497925
3143,person,0.970588743686676
3143,cell phone,0.6293721199035645
3293,person,0.9993460774421692
3293,person,0.8502384424209595
3400,person,0.9985932111740112
3400,person,0.7082751989364624
3491,person,0.999134361743927
3491,person,0.7823997139930725
3517,person,0.9939398169517517
3517,person,0.6942324042320251
3565,person,0.9947769045829773
3780,person,0.8785356879234314
3780,person,0.7946999669075012
3875,person,0.9914012551307678
3875,person,0.9649491310119629
4367,person,0.9923635721206665
4367,person,0.9840288162231445
4367,bench,0.97240149974823
4367,handbag,0.8574524521827698
4395,person,0.9997819662094116
4395,person,0.99843829870224
4476,person,0.9996001720428467
4476,person,0.8908617496490479
4578,person,0.9997690320014954
4578,person,0.9976389408111572
4796,person,0.9981260895729065
4914,person,0.9874996542930603
4914,person,0.8052543997764587
4969,person,0.9995899200439453
4969,person,0.9985007643699646
5090,person,0.9978026747703552
5133,person,0.9986602067947388
5133,person,0.9882664680480957
5346,person,0.9989046454429626
5388,person,0.9917067289352417
5477,person,0.9995552897453308
5506,person,0.9987077116966248
5506,person,0.5670441389083862
5538,person,0.999401867389679
5606,person,0.9978888630867004
5631,person,0.9843241572380066
5631,person,0.9812957644462585
5631,bench,0.8548585772514343
5631,handbag,0.5119640231132507
6007,person,0.9993695616722107
6007,person,0.986064612865448
6139,person,0.9929344058036804
6195,person,0.998622715473175
6234,person,0.9931197166442871
6234,person,0.8583550453186035
6234,bench,0.6889165639877319
6274,person,0.9772062301635742
6274,person,0.9436984062194824
6274,bench,0.7044466733932495
6302,person,0.9916671514511108
6352,person,0.9980674386024475
6352,person,0.8206284046173096
6464,person,0.999656081199646
6464,person,0.9994975328445435
6954,person,0.9994059801101685
6954,person,0.9880949854850769
6986,person,0.9989497661590576
7118,person,0.9885392189025879
7118,person,0.729144811630249
7195,person,0.9997132420539856
7195,person,0.9976454973220825
7195,bench,0.9731539487838745
7195,handbag,0.7646586894989014
7268,person,0.9998284578323364
7268,person,0.9996318817138672
7296,person,0.8512740731239319
7367,person,0.9857539534568787
7367,person,0.9755904674530029
7461,person,0.9987852573394775
7461,person,0.9907464385032654
7480,person,0.9959612488746643
7480,person,0.8374010324478149
7651,person,0.999980092048645
7687,person,0.9997428059577942
7687,person,0.9973427653312683
