frame_id,scale_category,confidence
0000,特写 (Close-up),0.18556539714336395
0102,特写 (Close-up),0.2157428115606308
0161,特写 (Close-up),0.16828276216983795
0298,全景 (Full Shot),0.18557995557785034
0434,全景 (Full Shot),0.19069120287895203
0525,全景 (Full Shot),0.17966632544994354
0627,中景 (Medium Shot),0.17878960072994232
0713,全景 (Full Shot),0.1770644336938858
1007,全景 (Full Shot),0.1839437335729599
1084,特写 (Close-up),0.2033611536026001
1266,全景 (Full Shot),0.1841840296983719
1341,特写 (Close-up),0.19968152046203613
1401,中景 (Medium Shot),0.18194645643234253
1460,全景 (Full Shot),0.17790822684764862
1527,中景 (Medium Shot),0.17230309545993805
1592,特写 (Close-up),0.2262183427810669
1645,全景 (Full Shot),0.1694456934928894
1748,特写 (Close-up),0.1977875828742981
1933,特写 (Close-up),0.18998202681541443
2129,特写 (Close-up),0.2419092059135437
2218,特写 (Close-up),0.1830640286207199
2527,极远景 (Extreme Long Shot),0.17265768349170685
2664,远景 (Long Shot),0.18780022859573364
2710,极远景 (Extreme Long Shot),0.2065630406141281
2799,全景 (Full Shot),0.1687612384557724
2964,远景 (Long Shot),0.20604002475738525
3014,特写 (Close-up),0.17115503549575806
3244,极远景 (Extreme Long Shot),0.1969148814678192
3421,全景 (Full Shot),0.1706613302230835
3866,全景 (Full Shot),0.17022261023521423
3976,极远景 (Extreme Long Shot),0.17794831097126007
4072,全景 (Full Shot),0.21539296209812164
4166,特写 (Close-up),0.18536092340946198
4212,特写 (Close-up),0.1953555941581726
